indian_commodity_name,commodity_category_fssai,icmr_nin_ifct_code,moisture_content_pct,fat_content_pct,ph_level,water_activity_aw,respiration_rate_mg_co2_kg_hr,target_shelf_life_days,storage_temperature_c,ambient_relative_humidity_pct,supply_chain_logistics,storage_regime,recommended_biodegradable_packaging,biodegradable_layer_structure,recommended_gauge_thickness_microns,target_otr_cc_m2_day_atm,target_wvtr_g_m2_day,sealing_mechanism,mechanical_strength_requirement,map_suitability,recommended_gas_composition,fssai_packaging_regulations_2018_clause,prescribed_bis_is_standard,fssai_migration_limit_compliance,cpcb_plastic_waste_management_rule_category,commercial_trade_reference_india,legal_and_scientific_source_citation
Dahi (Indian Curd),Dairy Products,Fermented Milk,86.18,4.19,4.19,0.99,0,20,2.1,81.8,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Chilled,Thermoformed PLA / Mineralized Bio-Polymer Cup + Paper-PLA Peelable Lid,Cup: 380µm Ingeo PLA with 15% Talc / Lid: 45gsm FSC Paper + 12µm Bio-PBS Lamination,373,6.8,1.76,Thermal Conductive Peel Seal (105-120°C),Rigid Top-load Compressive Strength (>15 kgf),No,Clean Air Headspace (prevents whey separation),Cl. 4(1) & Schedule I (Prohibition of Styrene Monomer Leaching),"IS/ISO 17088, IS 9845 (Simulant B)",Simulant B (3% Acetic Acid); OML < 10 mg/dm2 in acidic medium,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",TotalEnergies Corbion Luminy® PLA / EarthFirst® Films,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; NDRI Dahi Packaging Bulletin
Roasted Urad Dal Papad,Indian Snacks & Namkeen,Black Gram Papad,12.3,1.98,6.49,0.55,0,162,34.6,45.6,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Ambient,Moisture-Barrier NatureFlex / PLA Hermetic Pouch,Duplex: 25µm NatureFlex NK / 30µm Ingeo PLA Sealant Layer,61,54.4,1.64,Continuous Band Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Ambient Air,Cl. 3(1) Moisture & Insect Protection,"IS/ISO 17088, IS 9845",Simulant A; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NK / Bio-Flex®,ICMR-NIN IFCT 2017; CSIR-CFTRI Papad Technology & Packaging Standards
Gujarati Khakhra,Indian Snacks & Namkeen,Roasted Wheat Snack,2.81,12.33,6.09,0.25,0,110,23.2,54.4,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Ambient,High Moisture-Barrier NatureFlex / Bio-PBAT Vacuum Pouch,Co-ex: 20µm High-Barrier Gloss NatureFlex / 35µm PBAT-BioPBS Moisture Blocker,54,15.4,1.78,Hermetic Vacuum Strip Heat Seal,High Stiffness & Anti-Cracking,Yes,Vacuum Sealed / Nitrogen Flushed,Cl. 3(1) General Requirements & Moisture Barring,"IS/ISO 17088, IS 9845",Simulant D; Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Ecovio® F / NatureFlex™ NK,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Indian Institute of Packaging (IIP) Bulletin
Chakki Fresh Whole Wheat Atta,Grains & Flours,A001,11.34,1.65,6.31,0.58,0,156,24.3,49.7,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Ambient,Multi-wall Wet-Strength FSC Kraft Paper with Bio-PBS Extrusion Liner,Duplex: 80gsm Virgin Kraft Paper / 18µm Bio-PBS Breathable Moisture Barrier,98,184.4,5.46,Heat Sealable Bottom / Pinch Top Bio-Adhesive,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Ambient Air (controlled moisture ingress),Cl. 5(3) & Schedule II (Cereals and Pulses Products),"IS 6615, IS/ISO 17088, IS 9845",Simulant A; Free from recycled newspaper fibers (Cl. 3(2)),"CPCB Category IV (Certified Compostable Plastic, Form-VI)",ITC Paperboards Indobarr / Mondi EcoVantage,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Haridas Rao et al., CSIR-CFTRI"
Red Chilli Powder (Lal Mirch),Spices & Condiments,F002,9.36,13.06,5.83,0.46,0,347,22.4,73.6,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Ambient,AlOx / Metallized PLA Bio-Pouch (Capsaicin & Color Lock),Triplex: 40gsm Kraft / 15µm Met-PLA / 30µm Bio-PBS Oil-Resistant Sealant,76,1.5,0.56,Hermetic Band Heat Seal,Puncture & Capsaicin Permeation Proof,No,Nitrogen Flush,Cl. 5(2) (Spices & Condiments),"IS 10619, IS/ISO 17088",Simulant D; Total Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NKME / BioPBS™,ICMR-NIN IFCT 2017; Spice Board of India Packaging Standards
Besan Ladoo,Traditional Sweets (Mithai),Bengal Gram Sweet,5.26,24.49,6.23,0.42,0,74,28.6,44.8,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Ambient,Bio-based Paper/NatureFlex Pouch with Grease-Resistant Bio-Coating,Duplex: 50gsm FSC Greaseproof Kraft / 20µm Sealable NatureFlex Bio-film,68,40.7,3.91,Band Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,Nitrogen Flush (residual O2 < 1.0%),FSSAI Mandatory Mithai Display & Cl. 4(5),"IS 6615, IS/ISO 17088",Simulant D; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mondi EcoVantage + NatureFlex™ NK,ICMR-NIN IFCT 2017; CSIR-CFTRI Traditional Indian Confectionery Packaging
Khoa / Mawa (Desiccated Milk Solids),Dairy Products,B012,30.6,25.58,6.2,0.88,0,25,4.7,82.7,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Chilled,Cellulose/Bio-PBS High Barrier Vacuum Pouch,Duplex: 23µm NatureFlex NK / 45µm Bio-PBS Vacuum Seal Layer,81,4.3,2.45,Vacuum Chamber Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,"Vacuum Sealed or 30% CO2, 70% N2",Schedule I (Milk & Milk Products) & Cl. 4(4),"IS/ISO 17088, IS 9845",Simulant C & D; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NK + BioPBS™,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CSIR-CFTRI Dairy Technology Division
Cold-Pressed Mustard Oil (Kachi Ghani),Edible Vegetable Oils,Mustard Oil,0.09,99.79,6.53,0.2,0,181,27.6,57.5,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Ambient,Amber Polyhydroxyalkanoate (PHA) Rigid Bottle or AlOx-PLA Bio-Pouch,Rigid: 320µm Dark Amber Biosynthesized Nodax™ PHA with UV Blockers,342,1.4,1.27,Induction Heat Seal Liner (Bio-PBS Wad) + Threaded Cap,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,Nitrogen Headspace Sparging (residual O2 < 0.5%),Cl. 5(1) & Schedule I (Edible Vegetable Oils & Fats),"IS/ISO 17088, IS 9845 (Fat Simulant D)",Simulant D; Total Migration < 60 mg/kg; Zero erucic acid solvent interaction,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Danimer Scientific Nodax™ PHA / BioPBS™,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Gopalakrishna et al., CSIR-CFTRI"
Fresh Goat Meat (Chevon / Mutton),Fresh Meat & Poultry,Chevon Meat,71.86,5.34,5.8,0.99,0,14,1.3,89.3,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Chilled,Compostable High-Barrier Vacuum Shrink Film (Cellulose/AlOx-PLA/Bio-PBS),Triplex: 20µm NatureFlex / 15µm AlOx-PLA Barrier / 45µm Bio-PBS Antimicrobial Sealant,93,1.6,1.81,Hermetic Vacuum Chamber Seal (Liquid & Drip Tight),Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,"70-80% O2, 20-30% CO2 (preserves bright red oxymyoglobin bloom)",Schedule I (Meat & Meat Products) & Cl. 4(4),"IS/ISO 17088, IS 9845 (Simulant C & D)",Simulant C & D; Zero animal fat absorption; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",TIPA 312 Compostable / BioPBS™ Meat Grade,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Kandeepan et al., ICAR-NRC on Meat"
Rasgulla (In Light Syrup),Traditional Sweets (Mithai),Chhana Sweet,53,4.31,6.14,0.92,0,101,24,54.4,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Ambient,Molded Cellulose High-Barrier Can or AlOx-PLA Retort Pouch,Triplex: 15µm AlOx-PLA / 25µm Bio-PBS / 50µm Sealant,112,1.6,1.11,Hermetic Ultrasonic Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Syrup Exclusion,Schedule I (Canned Foods),"IS/ISO 17088, IS 9845",Simulant A; OML < 60 mg/kg,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",BioPBS™ + AlOx Barrier Film,ICMR-NIN IFCT 2017; CSIR-CFTRI Chhana Sweet Preservation Bulletin
Dahi (Indian Curd),Dairy Products,Fermented Milk,86.33,4.37,4.19,0.99,0,17,5.5,85.1,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Chilled,Thermoformed PLA / Mineralized Bio-Polymer Cup + Paper-PLA Peelable Lid,Cup: 380µm Ingeo PLA with 15% Talc / Lid: 45gsm FSC Paper + 12µm Bio-PBS Lamination,403,4.7,1.34,Thermal Conductive Peel Seal (105-120°C),Rigid Top-load Compressive Strength (>15 kgf),No,Clean Air Headspace (prevents whey separation),Cl. 4(1) & Schedule I (Prohibition of Styrene Monomer Leaching),"IS/ISO 17088, IS 9845 (Simulant B)",Simulant B (3% Acetic Acid); OML < 10 mg/dm2 in acidic medium,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",TotalEnergies Corbion Luminy® PLA / EarthFirst® Films,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; NDRI Dahi Packaging Bulletin
Basmati Rice (Aged),Grains & Flours,A005,11.87,0.61,6.47,0.56,0,492,27.3,62.4,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Ambient,Woven Jute Bag with Internal Compostable PLA/PBAT Liner,Outer: 250gsm Natural Jute / Inner: 40µm Blown Compostable Film Liner,94,204.2,5.18,Stitched Top / Heat Sealed Inner Liner,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Ambient Air,Cl. 3(1) Clean Food Contact Packaging,"IS/ISO 17088, IS 9845",Simulant A; Overall migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Indian National Jute Board + Ecovio® Liner,ICMR-NIN IFCT 2017; CSIR-CFTRI Rice Milling & Aroma Retention Studies
Bikaneri Bhujia,Indian Snacks & Namkeen,Moth Bean Fried Snack,1.71,34.58,5.89,0.22,0,133,28.5,72.3,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Ambient,High-Barrier Metallized Cellulose / Bio-PBS Laminate Pouch,Duplex: 23µm Metallized NatureFlex NKME / 30µm Puncture-Resistant Bio-PBS Sealant,64,1.7,0.49,Fin/Lap Heat Seal with High Hot Tack (100-115°C),Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,99.8% N2 Flushing (<0.5% residual O2 to prevent oil rancidity),"Cl. 4(5) & Schedule I (Fried and Namkeen Foods, Acid Value < 2.0)","IS/ISO 17088, IS 9845 (Fat Simulant D)",Simulant D (Refined Edible Oil); Total Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NKME (Futamura) + BioPBS™,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Goyal, Kumar et al., CSIR-CFTRI"
Besan Ladoo,Traditional Sweets (Mithai),Bengal Gram Sweet,4.91,24.95,6.17,0.42,0,84,27.4,54.8,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Ambient,Bio-based Paper/NatureFlex Pouch with Grease-Resistant Bio-Coating,Duplex: 50gsm FSC Greaseproof Kraft / 20µm Sealable NatureFlex Bio-film,63,39,2.31,Band Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,Nitrogen Flush (residual O2 < 1.0%),FSSAI Mandatory Mithai Display & Cl. 4(5),"IS 6615, IS/ISO 17088",Simulant D; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mondi EcoVantage + NatureFlex™ NK,ICMR-NIN IFCT 2017; CSIR-CFTRI Traditional Indian Confectionery Packaging
Besan (Gram Flour),Grains & Flours,Bengal Gram Flour,11,5.21,6.28,0.54,0,170,28.8,51.7,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Ambient,Virgin Kraft Paper / Bio-PBS Liner Moisture-Proof Pouch,Duplex: 60gsm Kraft / 20µm Bio-PBS Grease-Resistant Barrier,90,173.4,4.32,Heat Sealed Bottom / Ultrasonic Pinch Top,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Ambient Air,Schedule II & Cl. 5(3),"IS 6615, IS/ISO 17088",Simulant A & D; Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mondi EcoVantage + BioPBS™,ICMR-NIN IFCT 2017; CSIR-CFTRI Flour Milling & Storage Manual
Fresh Goat Meat (Chevon / Mutton),Fresh Meat & Poultry,Chevon Meat,71.63,5.53,5.82,0.99,0,7,0.8,85.5,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Chilled,Compostable High-Barrier Vacuum Shrink Film (Cellulose/AlOx-PLA/Bio-PBS),Triplex: 20µm NatureFlex / 15µm AlOx-PLA Barrier / 45µm Bio-PBS Antimicrobial Sealant,79,1.9,1.81,Hermetic Vacuum Chamber Seal (Liquid & Drip Tight),High Puncture Resistance against Goat Bone Splinters,Yes,"70-80% O2, 20-30% CO2 (preserves bright red oxymyoglobin bloom)",Schedule I (Meat & Meat Products) & Cl. 4(4),"IS/ISO 17088, IS 9845 (Simulant C & D)",Simulant C & D; Zero animal fat absorption; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",TIPA 312 Compostable / BioPBS™ Meat Grade,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Kandeepan et al., ICAR-NRC on Meat"
Fresh Okra (Bhindi),Fresh Horticultural Produce,E008,89.64,0.2,6.13,0.99,58,8,8.8,91.8,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Chilled,High-Breathability Starch-PBAT Bio-Film with Engineered Laser Perforations,Monolayer: 25µm Blown PBAT/Cornstarch Matrix with 80µm micro-holes,36,7355.3,57.94,Heat Seal with Airflow Channels,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,"5% O2, 8% CO2, balance N2 (prevents surface blackening & mucilage breakdown)",Cl. 3(2) Fresh Produce Clean Contact Rules,"IS/ISO 17088, IS 9845",Non-toxic compostable matrix; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mater-Bi® VF04A (Novamont) / Bio-Flex®,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CIPHET Postharvest Respiration Studies
Ground Turmeric (Haldi Powder),Spices & Condiments,F005,8.76,4.35,6.22,0.45,0,307,34.9,56.6,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Ambient,Light-Barrier Metallized Cellulose Paper / Bio-PBS Pouch with Bio-Zipper,Triplex: 45gsm Bleached Kraft / 19µm Met-PLA (Light & Aroma Barrier) / 30µm Bio-PBS Sealant,88,1.2,0.79,Heat Seal with Resealable Bio-Zipper,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Ambient Air / N2 Flush,Cl. 5(2) (Spices & Condiments) - Protection from volatile oil loss & UV,"IS 10619, IS/ISO 17088, IS 9845",Zero light transmission below 450nm; Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mondi EcoVantage Paper + BioPBS™ + NatureFlex™,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Balasubrahmanyam et al., CSIR-CFTRI"
Freshwater Fish (Rohu Steaks),Fish & Seafood,J001,76.36,2.85,6.5,0.99,0,10,1.2,94.1,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Chilled (On Crushed Ice),Waterproof Molded Sugarcane Bagasse Tray + Compostable High-Barrier Lidding Film,Base: 500gsm Hydrophobic Wax-coated Bagasse / Top: 30µm PVOH-coated NatureFlex Film,92,1.5,2.25,Hermetic Tray Lidding Seal (Leak-Proof for Fish Exudate),Puncture Proof against Sharp Fin Rays & Scales,Yes,"40-50% CO2, balance N2 (anoxic to suppress Pseudomonas and TVB-N)",Schedule I (Fish & Fishery Products) & Cl. 3(2),"IS/ISO 17088, IS 9845 (OML <60 mg/kg)",Simulant A & C; Zero styrene / formaldehyde leaching,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Pakka Chuk! Water-resistant Trays + NatureFlex™ NKME,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Bindu et al., ICAR-CIFT Cochin"
Chakki Fresh Whole Wheat Atta,Grains & Flours,A001,11.26,1.6,6.36,0.58,0,126,28.4,51.9,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Ambient,Multi-wall Wet-Strength FSC Kraft Paper with Bio-PBS Extrusion Liner,Duplex: 80gsm Virgin Kraft Paper / 18µm Bio-PBS Breathable Moisture Barrier,122,235.6,5.47,Heat Sealable Bottom / Pinch Top Bio-Adhesive,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Ambient Air (controlled moisture ingress),Cl. 5(3) & Schedule II (Cereals and Pulses Products),"IS 6615, IS/ISO 17088, IS 9845",Simulant A; Free from recycled newspaper fibers (Cl. 3(2)),"CPCB Category IV (Certified Compostable Plastic, Form-VI)",ITC Paperboards Indobarr / Mondi EcoVantage,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Haridas Rao et al., CSIR-CFTRI"
Bikaneri Bhujia,Indian Snacks & Namkeen,Moth Bean Fried Snack,1.83,35.22,5.86,0.22,0,171,27.8,84.6,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Ambient,High-Barrier Metallized Cellulose / Bio-PBS Laminate Pouch,Duplex: 23µm Metallized NatureFlex NKME / 30µm Puncture-Resistant Bio-PBS Sealant,72,1,0.89,Fin/Lap Heat Seal with High Hot Tack (100-115°C),Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,99.8% N2 Flushing (<0.5% residual O2 to prevent oil rancidity),"Cl. 4(5) & Schedule I (Fried and Namkeen Foods, Acid Value < 2.0)","IS/ISO 17088, IS 9845 (Fat Simulant D)",Simulant D (Refined Edible Oil); Total Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NKME (Futamura) + BioPBS™,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Goyal, Kumar et al., CSIR-CFTRI"
Alphonso Mangoes (GI Tagged Ratnagiri),Fresh Horticultural Produce,D001,82.37,0.39,4.25,0.98,26.1,23,12.3,86.5,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Chilled / Ambient Controlled,Molded Sugarcane Bagasse Punnet with Laser Micro-perforated NatureFlex™ Lidding,Base: 400gsm Heavy-duty Sugarcane Bagasse / Lid: 25µm Micro-perforated Cellulosic Film,40,5362.9,34.97,Ventilated Lid Heat Seal / Bio-Elastomer Band,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,"3-5% O2, 5-8% CO2, balance N2 (delays climacteric ethylene peak)",Cl. 3(4) & Prohibition of Calcium Carbide / Ethylene chemical contamination,"IS/ISO 17088, IS 2771, IS 9845",Agro-residue pulp; Zero PFAS fluorochemicals; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Pakka (Chuk!) Bagasse Trays + NatureFlex™ NK,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Kudachikar et al., CSIR-CFTRI"
Green Chillies (Hari Mirch),Fresh Horticultural Produce,E006,85.85,0.64,5.39,0.98,41.6,18,8.7,90.4,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Chilled,Active Anti-Fog Micro-Perforated PLA/PBAT Produce Pouch,Monolayer: 25µm Blown PBAT/PLA with Natural Bio-Wax Anti-Fog Additive,34,6735.1,47.78,Continuous Heat Seal with Gas Vents,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,"3% O2, 5% CO2, balance N2 (delays chlorophyll degradation)",Cl. 3(2) Clean Produce Packaging,"IS/ISO 17088, IS 9845",Simulant A; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Ecovio® F / NatureFlex™ NVS,ICMR-NIN IFCT 2017; ICAR-Indian Institute of Vegetable Research (IIVR) Varanasi
Rasgulla (In Light Syrup),Traditional Sweets (Mithai),Chhana Sweet,52.08,4.61,6.11,0.92,0,139,21.3,58.7,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Ambient,Molded Cellulose High-Barrier Can or AlOx-PLA Retort Pouch,Triplex: 15µm AlOx-PLA / 25µm Bio-PBS / 50µm Sealant,90,0.9,1.3,Hermetic Ultrasonic Heat Seal,High Burst Strength,No,Syrup Exclusion,Schedule I (Canned Foods),"IS/ISO 17088, IS 9845",Simulant A; OML < 60 mg/kg,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",BioPBS™ + AlOx Barrier Film,ICMR-NIN IFCT 2017; CSIR-CFTRI Chhana Sweet Preservation Bulletin
Rasgulla (In Light Syrup),Traditional Sweets (Mithai),Chhana Sweet,52.18,4.38,6.09,0.92,0,164,20.4,68.9,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Ambient,Molded Cellulose High-Barrier Can or AlOx-PLA Retort Pouch,Triplex: 15µm AlOx-PLA / 25µm Bio-PBS / 50µm Sealant,105,1.1,0.84,Hermetic Ultrasonic Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Syrup Exclusion,Schedule I (Canned Foods),"IS/ISO 17088, IS 9845",Simulant A; OML < 60 mg/kg,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",BioPBS™ + AlOx Barrier Film,ICMR-NIN IFCT 2017; CSIR-CFTRI Chhana Sweet Preservation Bulletin
Basmati Rice (Aged),Grains & Flours,A005,11.98,0.58,6.45,0.56,0,716,24.9,68.8,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Ambient,Woven Jute Bag with Internal Compostable PLA/PBAT Liner,Outer: 250gsm Natural Jute / Inner: 40µm Blown Compostable Film Liner,90,101.5,3.17,Stitched Top / Heat Sealed Inner Liner,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Ambient Air,Cl. 3(1) Clean Food Contact Packaging,"IS/ISO 17088, IS 9845",Simulant A; Overall migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Indian National Jute Board + Ecovio® Liner,ICMR-NIN IFCT 2017; CSIR-CFTRI Rice Milling & Aroma Retention Studies
Dahi (Indian Curd),Dairy Products,Fermented Milk,86.48,4.22,4.17,0.99,0,17,2.2,89.9,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Chilled,Thermoformed PLA / Mineralized Bio-Polymer Cup + Paper-PLA Peelable Lid,Cup: 380µm Ingeo PLA with 15% Talc / Lid: 45gsm FSC Paper + 12µm Bio-PBS Lamination,361,3.4,1.21,Thermal Conductive Peel Seal (105-120°C),Rigid Top-load Compressive Strength (>15 kgf),No,Clean Air Headspace (prevents whey separation),Cl. 4(1) & Schedule I (Prohibition of Styrene Monomer Leaching),"IS/ISO 17088, IS 9845 (Simulant B)",Simulant B (3% Acetic Acid); OML < 10 mg/dm2 in acidic medium,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",TotalEnergies Corbion Luminy® PLA / EarthFirst® Films,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; NDRI Dahi Packaging Bulletin
Gujarati Khakhra,Indian Snacks & Namkeen,Roasted Wheat Snack,2.58,12.16,6.09,0.25,0,91,22.8,54,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Ambient,High Moisture-Barrier NatureFlex / Bio-PBAT Vacuum Pouch,Co-ex: 20µm High-Barrier Gloss NatureFlex / 35µm PBAT-BioPBS Moisture Blocker,58,25.6,1.65,Hermetic Vacuum Strip Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,Vacuum Sealed / Nitrogen Flushed,Cl. 3(1) General Requirements & Moisture Barring,"IS/ISO 17088, IS 9845",Simulant D; Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Ecovio® F / NatureFlex™ NK,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Indian Institute of Packaging (IIP) Bulletin
Toor Dal (Split Pigeon Peas),Pulses & Legumes,C001,10.13,1.61,6.35,0.52,0,283,34.7,70,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Ambient,High-Transparency Compostable PLA/PBAT Blown Film Bag,Monolayer: 50µm Extruded Ingeo PLA / Bio-Flex PBAT Blend,46,104.6,3.53,Continuous Band Heat Seal (110-125°C),High Dart Impact & Puncture Resistance against sharp dal edges,No,Ambient Air (insect resistance),Cl. 3(1) General Requirements & Moisture Barring,"IS/ISO 17088, IS 9845",Simulant A; Overall migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Bio-Flex® FX 1130 (FKuR) / Ecovio® F,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CIPHET Pulse Storage Bulletin
Freshwater Fish (Rohu Steaks),Fish & Seafood,J001,76.34,2.93,6.5,0.99,0,10,0.5,90.8,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Chilled (On Crushed Ice),Waterproof Molded Sugarcane Bagasse Tray + Compostable High-Barrier Lidding Film,Base: 500gsm Hydrophobic Wax-coated Bagasse / Top: 30µm PVOH-coated NatureFlex Film,76,2.2,1.1,Hermetic Tray Lidding Seal (Leak-Proof for Fish Exudate),Puncture Proof against Sharp Fin Rays & Scales,Yes,"40-50% CO2, balance N2 (anoxic to suppress Pseudomonas and TVB-N)",Schedule I (Fish & Fishery Products) & Cl. 3(2),"IS/ISO 17088, IS 9845 (OML <60 mg/kg)",Simulant A & C; Zero styrene / formaldehyde leaching,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Pakka Chuk! Water-resistant Trays + NatureFlex™ NKME,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Bindu et al., ICAR-CIFT Cochin"
