commodity_name,commodity_category,initial_moisture_pct,initial_fat_pct,initial_ph,water_activity_aw,preservative_type,packaging_material_tested,actual_film_thickness_microns,actual_film_otr_cc_m2_day_atm,actual_film_wvtr_g_m2_day,storage_condition,storage_temperature_c,storage_rh_pct,headspace_gas_regime,measured_shelf_life_days,primary_failure_mode,kinetic_reaction_order,critical_endpoint_value,fssai_safety_compliance,empirical_research_citation
Fresh Malai Paneer,Dairy Products,54.29,24.59,5.89,0.98,Clean Label (No Synthetic Additives),Recommended Certified Compostable (FSSAI/BIS Compliant) - High-Barrier Certified Compostable Vacuum Film (Cellulose/AlOx-PLA/Bio-PBS),82,3.1,1.91,"Storage at 2.7°C, 86.8% RH",2.7,86.8,"40% CO2, 60% N2 (suppresses coliforms, yeasts & molds)",12,Microbial Proliferation (Yeast & Mold > 100 cfu/g FSSAI limit),First-order microbial growth,Reached critical spoilage limit on Day 12,Compliant across specified shelf life,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Rao et al., CSIR-CFTRI Dairy Studies"
Kaju Katli,Traditional Sweets (Mithai),10.95,21.68,6.33,0.68,Clean Label (No Synthetic Additives),Under-gauged Compostable Film (Down-gauged by 30%) - FSC Virgin Food-Grade Paper Box with NatureFlex™ Cellulose Moisture-Lock Window,20,156.5,8.64,"Storage at 29.3°C, 57.6% RH",29.3,57.6,100% N2 Flushing (prevents fungal mold & silver vark blackening),14,Fungal Mold (Aspergillus flavus) & Moisture Hardening,BET moisture sorption isotherm kinetics,Reached critical spoilage limit on Day 14,Early failure due to insufficient barrier thickness,"ICMR-NIN IFCT 2017; FSSAI Advisory on Mithai Quality; Saxena et al., CSIR-CFTRI"
Fresh Goat Meat (Chevon / Mutton),Fresh Meat & Poultry,71.72,6.12,5.8,0.99,Clean Label (No Synthetic Additives),Unsealed / Porous Paper Packaging without Bio-Liner - Polythene,74,145.6,85.99,"Storage at 0.2°C, 85.7% RH",0.2,85.7,Air Headspace (No MAP),1,Aerobic Plate Count Exceeding 10^6 cfu/g & Metmyoglobin Brown Discoloration,First-order microbial proliferation,Reached critical spoilage limit on Day 1,Failed within days due to rapid environmental equilibration,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Kandeepan et al., ICAR-NRC on Meat"
Dahi (Indian Curd),Dairy Products,86.25,4.3,4.21,0.99,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,48,203.7,11.19,"Storage at 6.1°C, 88.6% RH",6.1,88.6,Air Headspace (No MAP),3,Synaeresis (Whey Separation > 8%) & Hyper-acidity (pH < 3.8),Lactic acid fermentation kinetics,Reached critical spoilage limit on Day 3,Failed rapidly; Non-compliant with barrier and PWM norms,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; NDRI Dahi Packaging Bulletin
Dahi (Indian Curd),Dairy Products,86.57,3.83,4.2,0.99,Clean Label (No Synthetic Additives),Recommended Certified Compostable (FSSAI/BIS Compliant) - Thermoformed PLA / Mineralized Bio-Polymer Cup + Paper-PLA Peelable Lid,369,6.1,2.23,"Storage at 4.9°C, 84.1% RH",4.9,84.1,Clean Air Headspace (prevents whey separation),15,Synaeresis (Whey Separation > 8%) & Hyper-acidity (pH < 3.8),Lactic acid fermentation kinetics,Reached critical spoilage limit on Day 15,Compliant across specified shelf life,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; NDRI Dahi Packaging Bulletin
Nashik Red Onions,Fresh Horticultural Produce,87.03,0.1,5.64,0.95,Clean Label (No Synthetic Additives),Unsealed / Porous Paper Packaging without Bio-Liner - Polythene,81,2549266.4,7119.15,"Storage at 27.1°C, 70.9% RH",27.1,70.9,Air Headspace (No MAP),5,"Sprouting, Root Growth & Aspergillus niger (Black Mold)",Dormancy break temperature-humidity trigger,Reached critical spoilage limit on Day 5,Failed within days due to rapid environmental equilibration,"ICMR-NIN IFCT 2017; ICAR-Directorate of Onion and Garlic Research (DOGR), Pune"
Besan Ladoo,Traditional Sweets (Mithai),5.08,24.4,6.2,0.42,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,43,821.7,31.77,"Storage at 35.4°C, 59.0% RH",35.4,59,Air Headspace (No MAP),19,Ghee Auto-oxidation & Stale Cardboard Flavor,First-order free radical oxidation,Reached critical spoilage limit on Day 19,Failed rapidly; Non-compliant with barrier and PWM norms,ICMR-NIN IFCT 2017; CSIR-CFTRI Traditional Indian Confectionery Packaging
Fresh Goat Meat (Chevon / Mutton),Fresh Meat & Poultry,71.45,5.66,5.85,0.99,Clean Label (No Synthetic Additives),Unsealed / Porous Paper Packaging without Bio-Liner - Polythene,83,330.4,52.9,"Storage at 1.2°C, 87.1% RH",1.2,87.1,Air Headspace (No MAP),1,Aerobic Plate Count Exceeding 10^6 cfu/g & Metmyoglobin Brown Discoloration,First-order microbial proliferation,Reached critical spoilage limit on Day 1,Failed within days due to rapid environmental equilibration,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Kandeepan et al., ICAR-NRC on Meat"
Chakki Fresh Whole Wheat Atta,Grains & Flours,11.11,1.72,6.28,0.58,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,46,7575.8,45.63,"Storage at 29.4°C, 72.3% RH",29.4,72.3,Air Headspace (No MAP),40,Moisture Caking (Moisture > 14.0%) & Tribolium castaneum Weevil Growth,Hydrolytic lipid cleavage kinetics,Reached critical spoilage limit on Day 40,Failed rapidly; Non-compliant with barrier and PWM norms,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Haridas Rao et al., CSIR-CFTRI"
Fresh Goat Meat (Chevon / Mutton),Fresh Meat & Poultry,71.19,5.95,5.79,0.99,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,31,83.3,19.69,"Storage at 4.8°C, 87.5% RH",4.8,87.5,Air Headspace (No MAP),3,Aerobic Plate Count Exceeding 10^6 cfu/g & Metmyoglobin Brown Discoloration,First-order microbial proliferation,Reached critical spoilage limit on Day 3,Failed rapidly; Non-compliant with barrier and PWM norms,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Kandeepan et al., ICAR-NRC on Meat"
Fresh Malai Paneer,Dairy Products,55.16,24.15,5.94,0.98,Clean Label (No Synthetic Additives),Under-gauged Compostable Film (Down-gauged by 30%) - High-Barrier Certified Compostable Vacuum Film (Cellulose/AlOx-PLA/Bio-PBS),62,5.8,2.83,"Storage at 4.4°C, 85.6% RH",4.4,85.6,"40% CO2, 60% N2 (suppresses coliforms, yeasts & molds)",11,Microbial Proliferation (Yeast & Mold > 100 cfu/g FSSAI limit),First-order microbial growth,Reached critical spoilage limit on Day 11,Early failure due to insufficient barrier thickness,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Rao et al., CSIR-CFTRI Dairy Studies"
Bikaneri Bhujia,Indian Snacks & Namkeen,1.46,34.7,5.89,0.22,Clean Label (No Synthetic Additives),Under-gauged Compostable Film (Down-gauged by 30%) - High-Barrier Metallized Cellulose / Bio-PBS Laminate Pouch,41,3.4,1.03,"Storage at 37.2°C, 80.8% RH",37.2,80.8,99.8% N2 Flushing (<0.5% residual O2 to prevent oil rancidity),83,Loss of Crispness (Moisture > 4.0%) & Oxidative Rancidity (PV > 10 meq/kg),GAB moisture sorption model,Reached critical spoilage limit on Day 83,Early failure due to insufficient barrier thickness,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Goyal, Kumar et al., CSIR-CFTRI"
Traditional Mango Achar (In Mustard Oil),Spices & Condiments,48.17,23.22,3.22,0.78,Clean Label (No Synthetic Additives),Under-gauged Compostable Film (Down-gauged by 30%) - High Acid & Oil Resistant Biodegradable Spouted Pouch (AlOx-PLA / Bio-PBS),70,1.7,0.88,"Storage at 36.8°C, 58.9% RH",36.8,58.9,Mustard Oil Seal Layer Headspace Exclusion,243,Oxidative Darkening & Microbial Surface Scum,Non-enzymatic browning kinetics,Reached critical spoilage limit on Day 243,Early failure due to insufficient barrier thickness,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Kumar et al., CSIR-CFTRI Pickle Packaging"
Green Chillies (Hari Mirch),Fresh Horticultural Produce,85.94,0.59,5.37,0.98,Clean Label (No Synthetic Additives),Recommended Certified Compostable (FSSAI/BIS Compliant) - Active Anti-Fog Micro-Perforated PLA/PBAT Produce Pouch,24,7186.1,34.43,"Storage at 7.5°C, 94.3% RH",7.5,94.3,"3% O2, 5% CO2, balance N2 (delays chlorophyll degradation)",18,"Calyx Rot, Pungency Loss & Red Color Senescence",Chlorophyllase enzymatic breakdown,Reached critical spoilage limit on Day 18,Compliant across specified shelf life,ICMR-NIN IFCT 2017; ICAR-Indian Institute of Vegetable Research (IIVR) Varanasi
Khoa / Mawa (Desiccated Milk Solids),Dairy Products,30.89,25.2,6.23,0.88,Clean Label (No Synthetic Additives),Under-gauged Compostable Film (Down-gauged by 30%) - Cellulose/Bio-PBS High Barrier Vacuum Pouch,51,7.3,4.73,"Storage at 2.8°C, 80.1% RH",2.8,80.1,"Vacuum Sealed or 30% CO2, 70% N2",17,Mold Growth (Penicillium) & Free Fatty Acid Hydrolysis,Moisture gain exponential microbial trigger,Reached critical spoilage limit on Day 17,Early failure due to insufficient barrier thickness,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CSIR-CFTRI Dairy Technology Division
Gulab Jamun (In Sugar Syrup),Traditional Sweets (Mithai),38.29,11.99,5.8,0.85,Clean Label (No Synthetic Additives),Under-gauged Compostable Film (Down-gauged by 30%) - Retortable High-Barrier Bio-Pouch (AlOx-PLA / Bio-PBS),69,2.3,1.8,"Storage at 24.6°C, 72.5% RH",24.6,72.5,Hot Fill De-aeration / Syrup Headspace Exclusion,100,Osmophilic Yeast Fermentation & Acid Sourness,Thermal destruction D-value kinetics,Reached critical spoilage limit on Day 100,Early failure due to insufficient barrier thickness,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Kumar & Balasubrahmanyam, CSIR-CFTRI"
Freshwater Fish (Rohu Steaks),Fish & Seafood,76.04,2.73,6.47,0.99,Clean Label (No Synthetic Additives),Recommended Certified Compostable (FSSAI/BIS Compliant) - Waterproof Molded Sugarcane Bagasse Tray + Compostable High-Barrier Lidding Film,78,1.8,2.33,"Storage at 0.9°C, 94.6% RH",0.9,94.6,"40-50% CO2, balance N2 (anoxic to suppress Pseudomonas and TVB-N)",10,Total Volatile Base Nitrogen (TVB-N > 20 mg/100g) & Trimethylamine Odor,Bacterial enzymic proteolysis kinetics,Reached critical spoilage limit on Day 10,Compliant across specified shelf life,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Bindu et al., ICAR-CIFT Cochin"
Basmati Rice (Aged),Grains & Flours,11.87,0.67,6.44,0.56,Clean Label (No Synthetic Additives),Recommended Certified Compostable (FSSAI/BIS Compliant) - Woven Jute Bag with Internal Compostable PLA/PBAT Liner,107,168.4,4.88,"Storage at 31.6°C, 55.9% RH",31.6,55.9,Ambient Air,403,Aroma (2-acetyl-1-pyrroline) Volatilization & Sitophilus oryzae Weevil,Volatile aroma loss diffusion kinetics,Reached critical spoilage limit on Day 403,Compliant across specified shelf life,ICMR-NIN IFCT 2017; CSIR-CFTRI Rice Milling & Aroma Retention Studies
Red Chilli Powder (Lal Mirch),Spices & Condiments,9.22,12.51,5.77,0.46,Clean Label (No Synthetic Additives),Unsealed / Porous Paper Packaging without Bio-Liner - Polythene,70,116.8,34.05,"Storage at 33.6°C, 40.1% RH",33.6,40.1,Air Headspace (No MAP),35,Capsanthin Carotenoid Decoloration & Pungency Loss,First-order photo-oxidation,Reached critical spoilage limit on Day 35,Failed within days due to rapid environmental equilibration,ICMR-NIN IFCT 2017; Spice Board of India Packaging Standards
Rasgulla (In Light Syrup),Traditional Sweets (Mithai),50.6,4.44,6.1,0.92,Clean Label (No Synthetic Additives),Recommended Certified Compostable (FSSAI/BIS Compliant) - Molded Cellulose High-Barrier Can or AlOx-PLA Retort Pouch,106,1.6,0.76,"Storage at 26.3°C, 58.9% RH",26.3,58.9,Syrup Exclusion,130,Syrup Turbidity & Yeast Spoilage,Osmophilic microbial growth kinetics,Reached critical spoilage limit on Day 130,Compliant across specified shelf life,ICMR-NIN IFCT 2017; CSIR-CFTRI Chhana Sweet Preservation Bulletin
Toor Dal (Split Pigeon Peas),Pulses & Legumes,10.29,1.39,6.42,0.52,Clean Label (No Synthetic Additives),Unsealed / Porous Paper Packaging without Bio-Liner - Polythene,72,21045,159.38,"Storage at 21.5°C, 44.1% RH",21.5,44.1,Air Headspace (No MAP),36,Hard-to-Cook Defect & Pulse Beetle (Callosobruchus maculatus) Infestation,Pectin-phytate cell wall lignification,Reached critical spoilage limit on Day 36,Failed within days due to rapid environmental equilibration,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CIPHET Pulse Storage Bulletin
Basmati Rice (Aged),Grains & Flours,11.64,0.58,6.5,0.56,Clean Label (No Synthetic Additives),Under-gauged Compostable Film (Down-gauged by 30%) - Woven Jute Bag with Internal Compostable PLA/PBAT Liner,73,356.8,8.8,"Storage at 23.6°C, 61.7% RH",23.6,61.7,Ambient Air,447,Aroma (2-acetyl-1-pyrroline) Volatilization & Sitophilus oryzae Weevil,Volatile aroma loss diffusion kinetics,Reached critical spoilage limit on Day 447,Early failure due to insufficient barrier thickness,ICMR-NIN IFCT 2017; CSIR-CFTRI Rice Milling & Aroma Retention Studies
Freshwater Fish (Rohu Steaks),Fish & Seafood,76.29,2.83,6.43,0.99,Clean Label (No Synthetic Additives),Under-gauged Compostable Film (Down-gauged by 30%) - Waterproof Molded Sugarcane Bagasse Tray + Compostable High-Barrier Lidding Film,57,4,2.68,"Storage at 1.1°C, 90.6% RH",1.1,90.6,"40-50% CO2, balance N2 (anoxic to suppress Pseudomonas and TVB-N)",6,Total Volatile Base Nitrogen (TVB-N > 20 mg/100g) & Trimethylamine Odor,Bacterial enzymic proteolysis kinetics,Reached critical spoilage limit on Day 6,Early failure due to insufficient barrier thickness,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Bindu et al., ICAR-CIFT Cochin"
Indian Orthodox Black Tea,Beverages & Plantation Crops,6.36,0.42,5.23,0.35,Clean Label (No Synthetic Additives),Under-gauged Compostable Film (Down-gauged by 30%) - Multi-ply FSC Kraft Paper Sack with Metallized NatureFlex™ Cellulose Barrier Liner,67,1.8,1.13,"Storage at 25.9°C, 57.4% RH",25.9,57.4,Ambient Air / N2 Flush,208,Moisture Absorption (Moisture > 10.0%) & Loss of Theaflavins / Thearubigins,Sigmoid moisture sorption isotherm,Reached critical spoilage limit on Day 208,Early failure due to insufficient barrier thickness,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; IIP Mumbai Tea Packaging Standards
Chakki Fresh Whole Wheat Atta,Grains & Flours,11.43,1.59,6.27,0.58,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,33,10052.3,57.51,"Storage at 38.9°C, 51.8% RH",38.9,51.8,Air Headspace (No MAP),28,Moisture Caking (Moisture > 14.0%) & Tribolium castaneum Weevil Growth,Hydrolytic lipid cleavage kinetics,Reached critical spoilage limit on Day 28,Failed rapidly; Non-compliant with barrier and PWM norms,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Haridas Rao et al., CSIR-CFTRI"
Bikaneri Bhujia,Indian Snacks & Namkeen,1.56,34.58,5.92,0.22,Clean Label (No Synthetic Additives),Recommended Certified Compostable (FSSAI/BIS Compliant) - High-Barrier Metallized Cellulose / Bio-PBS Laminate Pouch,53,1,0.43,"Storage at 32.3°C, 82.0% RH",32.3,82,99.8% N2 Flushing (<0.5% residual O2 to prevent oil rancidity),167,Loss of Crispness (Moisture > 4.0%) & Oxidative Rancidity (PV > 10 meq/kg),GAB moisture sorption model,Reached critical spoilage limit on Day 167,Compliant across specified shelf life,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Goyal, Kumar et al., CSIR-CFTRI"
Red Chilli Powder (Lal Mirch),Spices & Condiments,9.48,12.96,5.83,0.46,Clean Label (No Synthetic Additives),Under-gauged Compostable Film (Down-gauged by 30%) - AlOx / Metallized PLA Bio-Pouch (Capsaicin & Color Lock),56,1.3,0.99,"Storage at 27.5°C, 50.2% RH",27.5,50.2,Nitrogen Flush,174,Capsanthin Carotenoid Decoloration & Pungency Loss,First-order photo-oxidation,Reached critical spoilage limit on Day 174,Early failure due to insufficient barrier thickness,ICMR-NIN IFCT 2017; Spice Board of India Packaging Standards
Ground Turmeric (Haldi Powder),Spices & Condiments,8.88,4.47,6.23,0.45,Clean Label (No Synthetic Additives),Recommended Certified Compostable (FSSAI/BIS Compliant) - Light-Barrier Metallized Cellulose Paper / Bio-PBS Pouch with Bio-Zipper,85,1.2,0.42,"Storage at 29.6°C, 42.3% RH",29.6,42.3,Ambient Air / N2 Flush,238,Photo-bleaching of Curcumin Pigment (Curcumin loss > 15%),First-order photodegradation kinetics,Reached critical spoilage limit on Day 238,Compliant across specified shelf life,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Balasubrahmanyam et al., CSIR-CFTRI"
Kerala Banana Chips (In Coconut Oil),Indian Snacks & Namkeen,2.14,32.17,5.79,0.24,Clean Label (No Synthetic Additives),Recommended Certified Compostable (FSSAI/BIS Compliant) - High-Barrier Metallized Cellulosic Laminate with N2 Flush,68,1.3,1.06,"Storage at 26.1°C, 82.6% RH",26.1,82.6,100% N2 Flush (prevents coconut oil rancidity),119,Coconut Oil Hydrolytic Rancidity (Free Fatty Acids > 1.0%) & Soggy Texture,Lipid auto-oxidation kinetics,Reached critical spoilage limit on Day 119,Compliant across specified shelf life,ICMR-NIN IFCT 2017; ICAR-Central Plantation Crops Research Institute (CPCRI)
Indian Orthodox Black Tea,Beverages & Plantation Crops,6.57,0.46,5.17,0.35,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,36,24.5,4.58,"Storage at 24.1°C, 74.7% RH",24.1,74.7,Air Headspace (No MAP),73,Moisture Absorption (Moisture > 10.0%) & Loss of Theaflavins / Thearubigins,Sigmoid moisture sorption isotherm,Reached critical spoilage limit on Day 73,Failed rapidly; Non-compliant with barrier and PWM norms,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; IIP Mumbai Tea Packaging Standards
Fresh Malai Paneer,Dairy Products,54.35,24.07,5.91,0.98,Clean Label (No Synthetic Additives),Unsealed / Porous Paper Packaging without Bio-Liner - Polythene,67,272.8,115.93,"Storage at 2.1°C, 90.0% RH",2.1,90,Air Headspace (No MAP),2,Microbial Proliferation (Yeast & Mold > 100 cfu/g FSSAI limit),First-order microbial growth,Reached critical spoilage limit on Day 2,Failed within days due to rapid environmental equilibration,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Rao et al., CSIR-CFTRI Dairy Studies"
Fresh Goat Meat (Chevon / Mutton),Fresh Meat & Poultry,71.2,5.88,5.83,0.99,Clean Label (No Synthetic Additives),Under-gauged Compostable Film (Down-gauged by 30%) - Compostable High-Barrier Vacuum Shrink Film (Cellulose/AlOx-PLA/Bio-PBS),52,4.3,2.67,"Storage at 0.1°C, 88.3% RH",0.1,88.3,"70-80% O2, 20-30% CO2 (preserves bright red oxymyoglobin bloom)",9,Aerobic Plate Count Exceeding 10^6 cfu/g & Metmyoglobin Brown Discoloration,First-order microbial proliferation,Reached critical spoilage limit on Day 9,Early failure due to insufficient barrier thickness,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Kandeepan et al., ICAR-NRC on Meat"
Kaju Katli,Traditional Sweets (Mithai),10.93,21.22,6.32,0.68,Clean Label (No Synthetic Additives),Unsealed / Porous Paper Packaging without Bio-Liner - Polythene,85,10512.7,161.53,"Storage at 30.1°C, 53.2% RH",30.1,53.2,Air Headspace (No MAP),4,Fungal Mold (Aspergillus flavus) & Moisture Hardening,BET moisture sorption isotherm kinetics,Reached critical spoilage limit on Day 4,Failed within days due to rapid environmental equilibration,"ICMR-NIN IFCT 2017; FSSAI Advisory on Mithai Quality; Saxena et al., CSIR-CFTRI"
Kaju Katli,Traditional Sweets (Mithai),11.4,21.13,6.31,0.68,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,31,2043.5,33.31,"Storage at 30.3°C, 46.8% RH",30.3,46.8,Air Headspace (No MAP),5,Fungal Mold (Aspergillus flavus) & Moisture Hardening,BET moisture sorption isotherm kinetics,Reached critical spoilage limit on Day 5,Failed rapidly; Non-compliant with barrier and PWM norms,"ICMR-NIN IFCT 2017; FSSAI Advisory on Mithai Quality; Saxena et al., CSIR-CFTRI"
Fresh Malai Paneer,Dairy Products,53.74,24.42,5.89,0.98,Clean Label (No Synthetic Additives),Unsealed / Porous Paper Packaging without Bio-Liner - Polythene,62,475.8,79.21,"Storage at 3.8°C, 86.1% RH",3.8,86.1,Air Headspace (No MAP),2,Microbial Proliferation (Yeast & Mold > 100 cfu/g FSSAI limit),First-order microbial growth,Reached critical spoilage limit on Day 2,Failed within days due to rapid environmental equilibration,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Rao et al., CSIR-CFTRI Dairy Studies"
Traditional Mango Achar (In Mustard Oil),Spices & Condiments,48.53,21.82,3.33,0.78,Clean Label (No Synthetic Additives),Recommended Certified Compostable (FSSAI/BIS Compliant) - High Acid & Oil Resistant Biodegradable Spouted Pouch (AlOx-PLA / Bio-PBS),107,0.6,0.74,"Storage at 28.7°C, 73.6% RH",28.7,73.6,Mustard Oil Seal Layer Headspace Exclusion,297,Oxidative Darkening & Microbial Surface Scum,Non-enzymatic browning kinetics,Reached critical spoilage limit on Day 297,Compliant across specified shelf life,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Kumar et al., CSIR-CFTRI Pickle Packaging"
Kerala Banana Chips (In Coconut Oil),Indian Snacks & Namkeen,2.11,33.17,5.81,0.24,Clean Label (No Synthetic Additives),Recommended Certified Compostable (FSSAI/BIS Compliant) - High-Barrier Metallized Cellulosic Laminate with N2 Flush,79,0.8,0.98,"Storage at 28.0°C, 81.1% RH",28,81.1,100% N2 Flush (prevents coconut oil rancidity),92,Coconut Oil Hydrolytic Rancidity (Free Fatty Acids > 1.0%) & Soggy Texture,Lipid auto-oxidation kinetics,Reached critical spoilage limit on Day 92,Compliant across specified shelf life,ICMR-NIN IFCT 2017; ICAR-Central Plantation Crops Research Institute (CPCRI)
Chakki Fresh Whole Wheat Atta,Grains & Flours,11.37,1.54,6.31,0.58,Clean Label (No Synthetic Additives),Under-gauged Compostable Film (Down-gauged by 30%) - Multi-wall Wet-Strength FSC Kraft Paper with Bio-PBS Extrusion Liner,61,362.7,9.27,"Storage at 33.6°C, 62.0% RH",33.6,62,Ambient Air (controlled moisture ingress),96,Moisture Caking (Moisture > 14.0%) & Tribolium castaneum Weevil Growth,Hydrolytic lipid cleavage kinetics,Reached critical spoilage limit on Day 96,Early failure due to insufficient barrier thickness,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Haridas Rao et al., CSIR-CFTRI"
Dahi (Indian Curd),Dairy Products,86.52,3.77,4.22,0.99,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,32,148.2,16.69,"Storage at 7.1°C, 90.0% RH",7.1,90,Air Headspace (No MAP),6,Synaeresis (Whey Separation > 8%) & Hyper-acidity (pH < 3.8),Lactic acid fermentation kinetics,Reached critical spoilage limit on Day 6,Failed rapidly; Non-compliant with barrier and PWM norms,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; NDRI Dahi Packaging Bulletin
Cold-Pressed Mustard Oil (Kachi Ghani),Edible Vegetable Oils,0.11,99.8,6.51,0.2,Clean Label (No Synthetic Additives),Recommended Certified Compostable (FSSAI/BIS Compliant) - Amber Polyhydroxyalkanoate (PHA) Rigid Bottle or AlOx-PLA Bio-Pouch,349,1,1.04,"Storage at 29.2°C, 57.9% RH",29.2,57.9,Nitrogen Headspace Sparging (residual O2 < 0.5%),187,Oxidative Peroxide Formation & Allyl Isothiocyanate Pungency Loss,First-order allylic autoxidation,Reached critical spoilage limit on Day 187,Compliant across specified shelf life,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Gopalakrishna et al., CSIR-CFTRI"
Fresh Malai Paneer,Dairy Products,53.83,24.75,5.95,0.98,Clean Label (No Synthetic Additives),Unsealed / Porous Paper Packaging without Bio-Liner - Polythene,82,385,112.15,"Storage at 2.2°C, 86.5% RH",2.2,86.5,Air Headspace (No MAP),2,Microbial Proliferation (Yeast & Mold > 100 cfu/g FSSAI limit),First-order microbial growth,Reached critical spoilage limit on Day 2,Failed within days due to rapid environmental equilibration,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Rao et al., CSIR-CFTRI Dairy Studies"
Besan Ladoo,Traditional Sweets (Mithai),5.16,24.53,6.21,0.42,Clean Label (No Synthetic Additives),Recommended Certified Compostable (FSSAI/BIS Compliant) - Bio-based Paper/NatureFlex Pouch with Grease-Resistant Bio-Coating,65,45.2,3.48,"Storage at 23.4°C, 44.3% RH",23.4,44.3,Nitrogen Flush (residual O2 < 1.0%),84,Ghee Auto-oxidation & Stale Cardboard Flavor,First-order free radical oxidation,Reached critical spoilage limit on Day 84,Compliant across specified shelf life,ICMR-NIN IFCT 2017; CSIR-CFTRI Traditional Indian Confectionery Packaging
Besan (Gram Flour),Grains & Flours,10.88,5.18,6.32,0.54,Clean Label (No Synthetic Additives),Recommended Certified Compostable (FSSAI/BIS Compliant) - Virgin Kraft Paper / Bio-PBS Liner Moisture-Proof Pouch,82,226.9,4.98,"Storage at 25.0°C, 52.9% RH",25,52.9,Ambient Air,156,Lipase-induced Acidity & Clumping,Enzymatic free fatty acid release,Reached critical spoilage limit on Day 156,Compliant across specified shelf life,ICMR-NIN IFCT 2017; CSIR-CFTRI Flour Milling & Storage Manual
Ground Turmeric (Haldi Powder),Spices & Condiments,8.85,4.71,6.18,0.45,Clean Label (No Synthetic Additives),Unsealed / Porous Paper Packaging without Bio-Liner - Polythene,60,87.7,33.04,"Storage at 32.8°C, 40.1% RH",32.8,40.1,Air Headspace (No MAP),29,Photo-bleaching of Curcumin Pigment (Curcumin loss > 15%),First-order photodegradation kinetics,Reached critical spoilage limit on Day 29,Failed within days due to rapid environmental equilibration,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Balasubrahmanyam et al., CSIR-CFTRI"
Alphonso Mangoes (GI Tagged Ratnagiri),Fresh Horticultural Produce,81.94,0.39,4.21,0.98,Clean Label (No Synthetic Additives),Unsealed / Porous Paper Packaging without Bio-Liner - Polythene,73,693320,1258.61,"Storage at 12.9°C, 88.0% RH",12.9,88,Air Headspace (No MAP),2,Over-ripening / Senescence Pulp Softening & Anthracnose Stem Rot,Michaelis-Menten respiration kinetics,Reached critical spoilage limit on Day 2,Failed within days due to rapid environmental equilibration,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Kudachikar et al., CSIR-CFTRI"
